nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg
4,Hardware,Refreshed_Hardware,brisbane,brisbane,1,1,-0.000913843090112075
4,Hardware,Refreshed_Hardware,torino,torino,1,1,0.08385378023987389
4,Hardware,Refreshed_Hardware,brisbane,brisbane,2,2,-0.01089186780534327
4,Hardware,Refreshed_Hardware,torino,torino,2,2,-0.0695980498559103
4,Hardware,Refreshed_Hardware,brisbane,brisbane,3,3,0.009456526907411852
4,Hardware,Refreshed_Hardware,torino,torino,3,3,-0.010934244557563658
4,Hardware,Simulated,brisbane,brisbane,1,1,0.08131255821920427
4,Hardware,Simulated,torino,torino,1,1,-0.15347654019157433
4,Hardware,Simulated,brisbane,brisbane,2,2,0.146242829715949
4,Hardware,Simulated,torino,torino,2,2,0.02792007564974692
4,Hardware,Simulated,brisbane,brisbane,3,3,-0.014023205759919234
4,Hardware,Simulated,torino,torino,3,3,-0.07162740191256839
4,Hardware,Refreshed_Simulated,brisbane,brisbane,1,1,0.046407169333382584
4,Hardware,Refreshed_Simulated,torino,torino,1,1,-0.059133493911345605
4,Hardware,Refreshed_Simulated,brisbane,brisbane,2,2,-0.008924524189306535
4,Hardware,Refreshed_Simulated,torino,torino,2,2,-0.14841924094324693
4,Hardware,Refreshed_Simulated,brisbane,brisbane,3,3,0.09593570535730692
4,Hardware,Refreshed_Simulated,torino,torino,3,3,-0.09425165307251897
4,Refreshed_Hardware,Simulated,brisbane,brisbane,1,1,-0.06727386612576525
4,Refreshed_Hardware,Simulated,torino,torino,1,1,0.19816665264802097
4,Refreshed_Hardware,Simulated,brisbane,brisbane,2,2,0.07102579557751995
4,Refreshed_Hardware,Simulated,torino,torino,2,2,-0.01952415505190789
4,Refreshed_Hardware,Simulated,brisbane,brisbane,3,3,0.023062905545158816
4,Refreshed_Hardware,Simulated,torino,torino,3,3,0.1399375536738486
4,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,1,1,-0.17483723012457325
4,Refreshed_Hardware,Refreshed_Simulated,torino,torino,1,1,0.036480226536744056
4,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,2,2,-0.0434697098111376
4,Refreshed_Hardware,Refreshed_Simulated,torino,torino,2,2,0.09957506442915556
4,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,3,3,0.08760180666928084
4,Refreshed_Hardware,Refreshed_Simulated,torino,torino,3,3,-0.014125788491614727
4,Simulated,Refreshed_Simulated,brisbane,brisbane,1,1,-0.011897882205373684
4,Simulated,Refreshed_Simulated,torino,torino,1,1,0.01744391815779465
4,Simulated,Refreshed_Simulated,brisbane,brisbane,2,2,0.21027151110973213
4,Simulated,Refreshed_Simulated,torino,torino,2,2,0.05930721157178777
4,Simulated,Refreshed_Simulated,brisbane,brisbane,3,3,0.04331339628343839
4,Simulated,Refreshed_Simulated,torino,torino,3,3,-0.07234390912250421
