nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg
8,Hardware,Hardware,brisbane,brisbane,1,2,0.2787672757169443
8,Hardware,Hardware,torino,torino,1,2,0.0019671657609201154
8,Hardware,Hardware,brisbane,brisbane,1,3,0.1612671458616262
8,Hardware,Hardware,torino,torino,1,3,0.029140919536213648
8,Hardware,Hardware,brisbane,brisbane,2,3,0.13261525432108626
8,Hardware,Hardware,torino,torino,2,3,0.031596245959153356
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,brisbane,1,2,0.17439286904444734
8,Refreshed_Hardware,Refreshed_Hardware,torino,torino,1,2,0.03320304073110484
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,brisbane,1,3,0.10499297344511309
8,Refreshed_Hardware,Refreshed_Hardware,torino,torino,1,3,-0.01720966773432533
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,brisbane,2,3,0.09903220654711715
8,Refreshed_Hardware,Refreshed_Hardware,torino,torino,2,3,0.019518794585717772
8,Simulated,Simulated,brisbane,brisbane,1,2,-0.03130570335477765
8,Simulated,Simulated,torino,torino,1,2,-0.03918723204421533
8,Simulated,Simulated,brisbane,brisbane,1,3,-0.10741852348198214
8,Simulated,Simulated,torino,torino,1,3,-0.033445899018689676
8,Simulated,Simulated,brisbane,brisbane,2,3,0.058295847175548705
8,Simulated,Simulated,torino,torino,2,3,0.019923712827947627
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,brisbane,1,2,-0.008722698782990375
8,Refreshed_Simulated,Refreshed_Simulated,torino,torino,1,2,-0.023910839833974473
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,brisbane,1,3,0.09743893794485467
8,Refreshed_Simulated,Refreshed_Simulated,torino,torino,1,3,-0.020449249052872098
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,brisbane,2,3,0.021350555099591516
8,Refreshed_Simulated,Refreshed_Simulated,torino,torino,2,3,0.022871045674730084
