nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1111,Hardware,100,Hardware,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,100,Simulation,100,0,5,3,0.13,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Simulation,100,0,5,3,0.2425,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Hardware,100,0,5,3,0.5,nan,nan,nan,nan,nan
4,1111,Hardware,100,Sim and Refreshed,100,0,5,3,0.18625,nan,nan,nan,nan,nan
4,1111,Simulation,100,Simulation,100,0,5,3,0.9625,0.90625,0.96875,0.953125,0.96875,0.9375
4,1111,Simulation,100,Hardware,100,0,5,3,0.09813084112149532,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Simulation,100,0,5,3,0.0275,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Hardware,100,0,5,3,0.5,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,100,Hardware,100,0,5,3,0.2336448598130841,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Simulation,100,0,5,3,0.1025,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,5,3,0.02,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,100,Hardware,100,0,5,3,0.9298245614035088,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Simulation,100,0,5,3,0.5,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,5,3,0.0,nan,nan,nan,nan,nan
4,1111,Hardware,100,Hardware,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,100,Simulation,100,0,5,4,0.13,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Simulation,100,0,5,4,0.2425,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Hardware,100,0,5,4,0.5,nan,nan,nan,nan,nan
4,1111,Hardware,100,Sim and Refreshed,100,0,5,4,0.18625,nan,nan,nan,nan,nan
4,1111,Simulation,100,Simulation,100,0,5,4,0.9625,0.90625,0.96875,0.953125,0.96875,0.9375
4,1111,Simulation,100,Hardware,100,0,5,4,0.09813084112149532,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Simulation,100,0,5,4,0.0275,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Hardware,100,0,5,4,0.5,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,100,Hardware,100,0,5,4,0.2336448598130841,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Simulation,100,0,5,4,0.1025,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,5,4,0.02,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,100,Hardware,100,0,5,4,0.9298245614035088,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Simulation,100,0,5,4,0.5,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,5,4,0.0,nan,nan,nan,nan,nan
4,1111,Hardware,010,Hardware,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,010,Simulation,010,0,5,0,0.2225,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Simulation,010,0,5,0,0.25,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Hardware,010,0,5,0,0.5,nan,nan,nan,nan,nan
4,1111,Hardware,010,Sim and Refreshed,010,0,5,0,0.23625,nan,nan,nan,nan,nan
4,1111,Simulation,010,Simulation,010,0,5,0,0.9625,0.90625,0.96875,0.921875,0.953125,0.921875
4,1111,Simulation,010,Hardware,010,0,5,0,0.2336448598130841,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Simulation,010,0,5,0,0.2175,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Hardware,010,0,5,0,0.68,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,010,Hardware,010,0,5,0,0.26635514018691586,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Simulation,010,0,5,0,0.305,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,5,0,0.96,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,010,Hardware,010,0,5,0,0.631578947368421,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Simulation,010,0,5,0,0.7,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,5,0,0.765,nan,nan,nan,nan,nan
4,1111,Hardware,010,Hardware,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,010,Simulation,010,0,5,1,0.3325,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Simulation,010,0,5,1,0.25,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Hardware,010,0,5,1,0.64,nan,nan,nan,nan,nan
4,1111,Hardware,010,Sim and Refreshed,010,0,5,1,0.29125,nan,nan,nan,nan,nan
4,1111,Simulation,010,Simulation,010,0,5,1,0.9625,0.90625,0.984375,0.9375,0.953125,0.921875
4,1111,Simulation,010,Hardware,010,0,5,1,0.07476635514018691,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Simulation,010,0,5,1,0.2275,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Hardware,010,0,5,1,0.56,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,010,Hardware,010,0,5,1,0.26635514018691586,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Simulation,010,0,5,1,0.325,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,5,1,0.52,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,010,Hardware,010,0,5,1,0.9649122807017544,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Simulation,010,0,5,1,0.86,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,5,1,0.525,nan,nan,nan,nan,nan
4,1111,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,010,Simulation,010,0,5,2,0.3325,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Simulation,010,0,5,2,0.25,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Hardware,010,0,5,2,0.64,nan,nan,nan,nan,nan
4,1111,Hardware,010,Sim and Refreshed,010,0,5,2,0.29125,nan,nan,nan,nan,nan
4,1111,Simulation,010,Simulation,010,0,5,2,0.9625,0.90625,0.984375,0.9375,0.953125,0.921875
4,1111,Simulation,010,Hardware,010,0,5,2,0.07476635514018691,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Simulation,010,0,5,2,0.2275,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Hardware,010,0,5,2,0.56,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,010,Hardware,010,0,5,2,0.26635514018691586,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Simulation,010,0,5,2,0.325,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,5,2,0.52,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,010,Hardware,010,0,5,2,0.9649122807017544,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Simulation,010,0,5,2,0.86,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,5,2,0.525,nan,nan,nan,nan,nan
4,1111,Hardware,010,Hardware,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,010,Simulation,010,0,5,3,0.3325,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Simulation,010,0,5,3,0.25,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Hardware,010,0,5,3,0.64,nan,nan,nan,nan,nan
4,1111,Hardware,010,Sim and Refreshed,010,0,5,3,0.29125,nan,nan,nan,nan,nan
4,1111,Simulation,010,Simulation,010,0,5,3,0.9625,0.90625,0.984375,0.9375,0.953125,0.921875
4,1111,Simulation,010,Hardware,010,0,5,3,0.07476635514018691,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Simulation,010,0,5,3,0.2275,nan,nan,nan,nan,nan
4,1111,Simulation,010,Refreshed_Hardware,010,0,5,3,0.56,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,010,Hardware,010,0,5,3,0.26635514018691586,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Simulation,010,0,5,3,0.325,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,5,3,0.52,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,010,Hardware,010,0,5,3,0.9649122807017544,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Simulation,010,0,5,3,0.86,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,5,3,0.525,nan,nan,nan,nan,nan
4,1111,Hardware,010,Hardware,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,010,Simulation,010,0,5,4,0.3325,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Simulation,010,0,5,4,0.25,nan,nan,nan,nan,nan
4,1111,Hardware,010,Refreshed_Hardware,010,0,5,4,0.64,nan,nan,nan,nan,nan
