nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1111,Hardware,100,Hardware,100,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,poly,3,0.35,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,poly,3,0.4175,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Hardware,100,0,poly,3,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,poly,3,0.38375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,100,Hardware,100,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,poly,3,0.7,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Hardware,100,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,poly,3,0.5275,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,100,Hardware,100,0,poly,3,0.99,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Simulation,100,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,poly,3,0.88,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,poly,4,0.3525,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,poly,4,0.395,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Hardware,100,0,poly,4,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,poly,4,0.37375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,100,Hardware,100,0,poly,4,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,poly,4,0.705,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Hardware,100,0,poly,4,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,poly,4,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,poly,4,0.5425,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,poly,4,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,100,Hardware,100,0,poly,4,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Simulation,100,0,poly,4,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,poly,4,0.95,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,linear,0,0.975,0.96875,0.984375,0.984375,0.984375,0.984375
8,1111,Hardware,010,Simulation,010,0,linear,0,0.3025,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,linear,0,0.285,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Hardware,010,0,linear,0,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,linear,0,0.29375,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,010,Hardware,010,0,linear,0,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,linear,0,0.33,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Hardware,010,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,010,Hardware,010,0,linear,0,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,linear,0,0.4925,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,010,Hardware,010,0,linear,0,0.98,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Simulation,010,0,linear,0,0.75,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,linear,0,0.895,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,poly,1,0.3,0.390625,0.390625,0.40625,0.390625,0.390625
8,1111,Hardware,010,Simulation,010,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Hardware,010,0,poly,1,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,poly,1,0.65,0.484375,0.5,0.5,0.5,0.53125
8,1111,Simulation,010,Hardware,010,0,poly,1,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Hardware,010,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,poly,1,0.675,0.5,0.5,0.5,0.765625,0.515625
8,1111,Refreshed_Simulation,010,Hardware,010,0,poly,1,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,poly,1,0.47,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,poly,1,0.4,0.5625,0.5625,0.5,0.5,0.5
8,1100,Refreshed_Hardware,010,Hardware,010,0,poly,1,0.87,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Simulation,010,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,010,Simulation,010,0,rbf,2,0.345,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,rbf,2,0.13,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Hardware,010,0,rbf,2,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,rbf,2,0.2375,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,010,Hardware,010,0,rbf,2,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,rbf,2,0.335,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Hardware,010,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,010,Hardware,010,0,rbf,2,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,rbf,2,0.49,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,010,Hardware,010,0,rbf,2,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Simulation,010,0,rbf,2,0.75,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,rbf,2,0.905,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,010,Simulation,010,0,poly,3,0.41,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,poly,3,0.18,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Hardware,010,0,poly,3,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,poly,3,0.295,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,010,Hardware,010,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,poly,3,0.335,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Hardware,010,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,010,Hardware,010,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,poly,3,0.49,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,010,Hardware,010,0,poly,3,1.0,nan,nan,nan,nan,nan
