00000000,00000001,00000010,00000011,00000100,00000101,00000110,00000111,00001000,00001001,00001010,00001011,00001100,00001101,00001110,00001111,00010000,00010001,00010010,00010011,00010100,00010101,00010110,00010111,00011000,00011001,00011010,00011011,00011100,00011101,00011110,00011111,00100000,00100001,00100010,00100011,00100100,00100101,00100110,00100111,00101000,00101001,00101010,00101011,00101100,00101101,00101110,00101111,00110000,00110001,00110010,00110011,00110100,00110101,00110110,00110111,00111000,00111001,00111010,00111011,00111100,00111101,00111110,00111111,01000000,01000001,01000010,01000011,01000100,01000101,01000110,01000111,01001000,01001001,01001010,01001011,01001100,01001101,01001110,01001111,01010000,01010001,01010010,01010011,01010100,01010101,01010110,01010111,01011000,01011001,01011010,01011011,01011100,01011101,01011110,01011111,01100000,01100001,01100010,01100011,01100100,01100101,01100110,01100111,01101000,01101001,01101010,01101011,01101100,01101101,01101110,01101111,01110000,01110001,01110010,01110011,01110100,01110101,01110110,01110111,01111000,01111001,01111010,01111011,01111100,01111101,01111110,01111111,10000000,10000001,10000010,10000011,10000100,10000101,10000110,10000111,10001000,10001001,10001010,10001011,10001100,10001101,10001110,10001111,10010000,10010001,10010010,10010011,10010100,10010101,10010110,10010111,10011000,10011001,10011010,10011011,10011100,10011101,10011110,10011111,10100000,10100001,10100010,10100011,10100100,10100101,10100110,10100111,10101000,10101001,10101010,10101011,10101100,10101101,10101110,10101111,10110000,10110001,10110010,10110011,10110100,10110101,10110110,10110111,10111000,10111001,10111010,10111011,10111100,10111101,10111110,10111111,11000000,11000001,11000010,11000011,11000100,11000101,11000110,11000111,11001000,11001001,11001010,11001011,11001100,11001101,11001110,11001111,11010000,11010001,11010010,11010011,11010100,11010101,11010110,11010111,11011000,11011001,11011010,11011011,11011100,11011101,11011110,11011111,11100000,11100001,11100010,11100011,11100100,11100101,11100110,11100111,11101000,11101001,11101010,11101011,11101100,11101101,11101110,11101111,11110000,11110001,11110010,11110011,11110100,11110101,11110110,11110111,11111000,11111001,11111010,11111011,11111100,11111101,11111110,11111111
1977,478,188,68,113,59,10,10,277,80,32,10,20,13,1,2,154,43,15,7,6,7,4,,23,12,2,1,2,,,1,84,40,10,3,5,1,1,1,11,5,2,1,3,,,,13,5,,1,1,1,,,3,1,,,,1,,,56,36,2,5,1,,,1,8,3,3,,1,1,,,5,3,,1,,,,,1,,,,,,,,5,2,2,,2,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,63,26,7,5,2,3,,,8,8,1,,,,,,3,5,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,3,,,,,,,,2,1,,,,,,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,444,190,78,96,49,22,10,274,71,33,15,23,7,2,4,134,50,13,3,8,5,3,2,24,13,1,1,5,2,1,,76,45,9,6,1,4,,,10,8,,2,1,2,,,8,6,2,,,,1,,2,1,,,,,,,48,33,7,3,4,,1,,8,7,,1,,,,,7,6,,2,,,,,1,1,,,,,,,2,5,1,1,,,,,2,,,,1,,,,2,,,,,,,,,1,,,,,,,82,17,3,1,1,1,,,9,1,,1,,1,,,7,4,,,,,,1,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,443,171,66,87,57,14,12,278,83,14,16,19,6,2,5,152,43,12,5,7,5,1,,21,18,5,,4,1,2,2,72,45,10,7,2,2,,,12,10,1,1,,,,,19,6,2,1,,2,,1,6,3,,,,,,,55,30,6,2,4,2,1,,10,8,3,,,,,,5,4,2,1,,,,,1,3,,,,,,,10,4,1,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,,,56,25,5,5,5,2,1,1,10,8,,,,,,,5,5,1,,,1,,,2,,,,,,,,2,2,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,9,3,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,3,1,,,,,,,,,,,1,,,
2046,436,170,84,77,57,12,8,279,92,16,8,25,4,2,2,161,40,8,6,9,5,2,2,26,7,2,,3,1,,,100,44,8,2,4,2,1,1,10,2,2,1,1,,,,3,5,1,,1,,,,3,2,,1,1,,,,55,27,6,2,3,2,2,,6,4,1,1,,,,,2,1,,1,1,,,,1,,,,,,,,10,5,4,1,,,,,2,1,,,,,,1,2,1,,,,,,,1,,,,,1,,,62,19,8,4,4,5,2,2,9,7,1,,1,1,,,6,1,,1,,,,,,,,,1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,2,,,,,2,2,,,,,,,1,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
2038,426,169,53,100,72,15,13,279,74,20,8,16,12,8,2,149,43,10,6,11,4,,2,16,9,4,3,5,,2,2,101,57,9,7,1,2,2,,13,7,1,,,2,,,11,1,,,,1,,,2,1,,,1,,,,57,26,5,4,4,3,,,5,2,,,1,,,,4,4,1,1,1,,,,2,,,,1,,,,6,3,,2,,1,,,1,1,,,,,,,,2,,,,,,,4,,,,,,,,66,38,7,2,,3,1,,8,4,,,,,,,5,1,1,,,1,,,,1,,,,,,,2,2,,,,,,,,1,,,,,,,2,,,1,,,,,1,,,,,,,,5,3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
2009,468,180,74,94,48,14,12,270,87,19,9,17,14,1,5,157,45,6,2,6,5,1,2,21,13,2,1,3,1,,,91,54,9,5,4,1,,,13,3,1,,,1,,,14,10,,,3,1,,,3,3,1,,,,,,60,30,8,2,1,2,2,,7,2,,,,,,,4,3,,1,,,,,,1,,,,,,,9,1,2,,,,1,,,2,,,,,,,1,,,,,,,,,1,,,,,,,52,31,6,1,4,1,2,,11,4,,2,2,,,,5,7,,1,,,,,1,,,,,,,,5,4,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,1,,,,1,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,450,185,64,75,55,19,16,240,59,21,6,22,4,3,2,156,43,14,6,13,3,2,,20,12,1,,2,1,,,94,51,10,2,5,,,,15,7,1,1,1,,,,12,8,1,1,,1,,,1,1,,,,,2,,54,29,5,3,2,3,,2,11,3,3,,,,,,5,3,,,1,,,,1,,,,,,,,7,3,,,,,,,1,1,,,,,,,4,,,,1,,,,,,,,,,,,60,29,8,8,3,2,1,,6,3,1,,1,2,,,7,4,2,,,,,1,,,,,,,,,8,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2020,467,176,84,68,53,13,11,273,71,36,11,20,7,3,5,145,53,11,5,7,3,1,1,27,9,3,1,4,,1,,82,42,10,9,8,3,1,,16,9,,2,,,,1,10,10,1,,,1,,,2,2,1,,,,,,63,32,5,2,4,,,1,9,4,,,,,,,7,2,1,,1,,,,,,,,,,,,10,6,1,1,,,,,2,,,,1,,1,,2,3,1,,,,,,,,,,,,,,52,31,8,1,1,,,,10,5,,,,1,,,5,4,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,1,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,442,156,78,90,65,20,18,301,67,24,8,25,11,4,6,179,42,13,7,7,9,1,3,43,8,3,2,6,1,,1,102,39,5,3,2,,,1,13,10,,2,1,2,,,7,7,2,,1,,,,4,2,1,,1,,,,47,20,8,4,2,1,1,1,9,7,1,2,,,,,6,4,1,1,1,,,,2,,,,,,,,3,3,,,,,,,1,,,,,,,,2,3,,,,,,,1,,,,,,,,66,27,4,1,3,1,1,1,15,6,1,,,1,,,3,5,,,,,,,1,,,,,1,,,2,3,1,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
