nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1111,Hardware,111,Hardware,111,0,linear,0,0.9922480620155039,1.0,0.9805825242718447,1.0,0.9901960784313726,1.0
4,1111,Hardware,111,Simulation,111,0,linear,0,0.25666666666666665,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,linear,0,0.15666666666666668,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,linear,0,0.20666666666666667,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,linear,0,0.6625,0.6614583333333334,0.5885416666666666,0.609375,0.6614583333333334,0.6458333333333334
4,1111,Simulation,111,Hardware,111,0,linear,0,0.26635514018691586,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,linear,0,0.20583333333333334,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,linear,0,0.5541666666666667,0.5260416666666666,0.5208333333333334,0.515625,0.4739583333333333,0.59375
4,1111,Refreshed_Simulation,111,Hardware,111,0,linear,0,0.2523364485981308,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,linear,0,0.395,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,linear,0,0.5083333333333333,0.4921875,0.5520833333333334,0.4739583333333333,0.484375,0.5078125
4,1111,Sim and Refreshed,111,Hardware,111,0,linear,0,0.2538940809968847,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,poly,1,1.0,1.0,0.9902912621359223,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,poly,1,0.32083333333333336,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,poly,1,0.20416666666666666,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,poly,1,0.2625,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,poly,1,0.8916666666666667,0.90625,0.8854166666666666,0.8333333333333334,0.875,0.8385416666666666
4,1111,Simulation,111,Hardware,111,0,poly,1,0.21651090342679127,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,poly,1,0.245,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,poly,1,0.9958333333333333,0.9895833333333334,1.0,0.9479166666666666,0.96875,0.984375
4,1111,Refreshed_Simulation,111,Hardware,111,0,poly,1,0.09345794392523364,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,poly,1,0.23,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,poly,1,0.7916666666666666,0.8098958333333334,0.7994791666666666,0.7578125,0.7708333333333334,0.7838541666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,poly,1,0.24610591900311526,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,rbf,2,0.285,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,rbf,2,0.1775,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,rbf,2,0.23125,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,rbf,2,0.9958333333333333,0.9947916666666666,0.9791666666666666,0.984375,0.9895833333333334,0.9791666666666666
4,1111,Simulation,111,Hardware,111,0,rbf,2,0.2632398753894081,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,rbf,2,0.13583333333333333,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,rbf,2,1.0,0.9947916666666666,1.0,0.9895833333333334,1.0,1.0
