0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
3206,265,120,25,88,129,7,9,149,66,5,6,11,7,1,2
3212,270,109,23,115,124,5,7,137,73,4,3,7,5,,2
3193,285,104,27,83,115,7,7,168,74,6,4,12,11,,
3254,260,100,18,76,128,10,5,154,65,3,5,8,8,1,1
3232,273,101,16,104,124,2,7,149,59,5,,13,10,1,
3180,285,113,18,102,153,5,6,144,63,5,1,11,9,1,
3235,270,111,22,95,111,6,5,144,71,3,4,7,11,1,
3158,293,95,13,103,127,11,6,157,97,12,6,6,12,,
3162,289,121,20,104,138,5,3,156,76,3,1,9,8,1,
3220,243,99,25,104,135,6,9,155,76,3,4,7,9,,1
3225,292,103,19,95,121,2,7,144,62,5,7,8,6,,
3257,248,94,25,93,113,10,7,154,67,6,2,10,9,,1
3312,249,77,25,99,103,5,6,144,50,3,2,15,4,1,1
3225,267,104,27,78,131,2,5,151,72,7,1,12,14,,
3243,268,107,25,102,99,5,5,148,66,5,4,9,10,,
3173,302,68,22,111,141,3,7,143,79,11,5,13,17,,1
3140,286,113,26,111,141,6,8,166,63,2,9,7,18,,
3191,277,91,24,118,136,3,7,144,76,9,3,8,8,,1
3204,307,89,29,96,130,3,6,138,65,6,2,9,11,,1
3220,310,58,23,101,135,6,10,144,58,5,3,12,11,,
3202,266,93,30,97,144,10,6,157,60,4,3,8,15,1,
3167,311,91,34,100,144,4,6,144,75,2,2,6,10,,
3179,315,86,30,96,122,2,3,163,73,6,4,6,10,,1
3100,346,97,25,102,159,5,10,140,74,7,4,12,14,,1
3220,284,104,24,90,132,6,6,143,58,3,5,8,12,1,
3245,281,90,32,93,118,8,5,131,64,8,5,10,6,,
3150,301,92,17,117,164,8,8,147,67,5,2,7,10,,1
3193,274,112,26,92,140,3,7,134,79,3,3,14,16,,
3212,289,97,20,96,138,2,1,136,69,5,4,14,13,,
3280,278,81,22,70,121,9,7,149,57,4,3,8,5,1,1
3269,264,97,30,82,117,8,5,143,58,8,2,5,8,,
3183,287,93,27,103,133,2,5,169,81,2,,4,7,,
3257,251,89,27,79,119,5,5,161,83,2,2,6,10,,
3283,252,94,22,100,117,4,4,133,66,6,2,8,5,,
3253,272,89,16,93,114,2,2,163,68,4,3,11,6,,
3230,286,82,28,87,118,9,2,156,68,4,4,13,9,,
3265,288,76,24,78,114,3,6,141,68,11,2,13,6,1,
3260,266,82,28,96,117,2,7,156,54,4,3,10,9,2,
3289,265,88,18,85,117,2,7,127,73,1,3,13,7,1,
3284,270,97,21,74,99,5,7,139,76,2,5,9,7,,1
3231,310,96,23,97,98,6,7,142,61,4,5,6,9,1,
3207,284,73,21,95,143,4,5,135,101,2,3,12,10,,1
3236,282,95,25,105,135,5,2,110,80,5,2,9,5,,
3159,298,87,20,104,133,3,1,164,86,3,3,18,16,1,
3209,273,104,23,111,139,3,2,118,83,6,2,10,10,2,1
3280,267,112,22,88,93,7,7,137,60,2,3,10,7,1,
3258,268,92,32,92,121,7,5,121,72,2,1,17,7,1,
3250,293,100,22,93,133,5,4,107,65,2,4,8,9,1,
3235,299,101,24,92,101,2,3,141,72,3,5,10,7,1,
3264,273,102,27,94,118,7,4,114,64,4,3,10,11,1,
