column,max,min,range,mean,standard deviation,variance
00000000,272.0,204.0,68.0,233.68,14.035222646879342,196.98747474747478
00000001,35.0,12.0,23.0,20.97,4.434609066846543,19.665757575757574
00000010,139.0,85.0,54.0,112.24,10.769504270031291,115.9822222222222
00000011,3.0,0.0,3.0,0.65,0.7571210756756963,0.5732323232323234
00000100,29.0,9.0,20.0,19.12,3.952444583016716,15.621818181818183
00000101,1.0,0.0,1.0,0.11,0.3144660377352202,0.09888888888888892
00000110,4.0,0.0,4.0,0.56,0.7563869460277669,0.572121212121212
00000111,0.0,0.0,0.0,0.0,0.0,0.0
00001000,62.0,21.0,41.0,38.45,7.115745806578421,50.633838383838395
00001001,2.0,0.0,2.0,0.29,0.5182526976156117,0.2685858585858586
00001010,3.0,0.0,3.0,1.09,0.8176709965419213,0.6685858585858587
00001011,0.0,0.0,0.0,0.0,0.0,0.0
00001100,2.0,0.0,2.0,0.22,0.4623173950192376,0.21373737373737378
00001101,0.0,0.0,0.0,0.0,0.0,0.0
00001110,0.0,0.0,0.0,0.0,0.0,0.0
00001111,0.0,0.0,0.0,0.0,0.0,0.0
00010000,16.0,3.0,13.0,7.88,2.7753605644359554,7.702626262626264
00010001,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
00010010,1.0,0.0,1.0,0.17,0.3775251680686369,0.14252525252525253
00010011,0.0,0.0,0.0,0.0,0.0,0.0
00010100,1.0,0.0,1.0,0.05,0.2190429135575903,0.047979797979797977
00010101,0.0,0.0,0.0,0.0,0.0,0.0
00010110,0.0,0.0,0.0,0.0,0.0,0.0
00010111,0.0,0.0,0.0,0.0,0.0,0.0
00011000,1.0,0.0,1.0,0.03,0.1714466079977653,0.029393939393939392
00011001,0.0,0.0,0.0,0.0,0.0,0.0
00011010,0.0,0.0,0.0,0.0,0.0,0.0
00011011,0.0,0.0,0.0,0.0,0.0,0.0
00011100,0.0,0.0,0.0,0.0,0.0,0.0
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,0.0,0.0,0.0,0.0,0.0,0.0
00011111,0.0,0.0,0.0,0.0,0.0,0.0
00100000,16.0,1.0,15.0,9.29,3.204463427562539,10.268585858585858
00100001,1.0,0.0,1.0,0.03,0.1714466079977653,0.0293939393939394
00100010,3.0,0.0,3.0,0.33,0.5869799439039247,0.34454545454545454
00100011,0.0,0.0,0.0,0.0,0.0,0.0
00100100,1.0,0.0,1.0,0.02,0.14070529413628965,0.01979797979797979
00100101,0.0,0.0,0.0,0.0,0.0,0.0
00100110,0.0,0.0,0.0,0.0,0.0,0.0
00100111,0.0,0.0,0.0,0.0,0.0,0.0
00101000,2.0,0.0,2.0,0.1,0.3333333333333333,0.1111111111111111
00101001,0.0,0.0,0.0,0.0,0.0,0.0
00101010,0.0,0.0,0.0,0.0,0.0,0.0
00101011,0.0,0.0,0.0,0.0,0.0,0.0
00101100,0.0,0.0,0.0,0.0,0.0,0.0
00101101,0.0,0.0,0.0,0.0,0.0,0.0
00101110,0.0,0.0,0.0,0.0,0.0,0.0
00101111,0.0,0.0,0.0,0.0,0.0,0.0
00110000,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00110001,0.0,0.0,0.0,0.0,0.0,0.0
00110010,0.0,0.0,0.0,0.0,0.0,0.0
00110011,0.0,0.0,0.0,0.0,0.0,0.0
00110100,0.0,0.0,0.0,0.0,0.0,0.0
00110101,0.0,0.0,0.0,0.0,0.0,0.0
00110110,0.0,0.0,0.0,0.0,0.0,0.0
00110111,0.0,0.0,0.0,0.0,0.0,0.0
00111000,0.0,0.0,0.0,0.0,0.0,0.0
00111001,0.0,0.0,0.0,0.0,0.0,0.0
00111010,0.0,0.0,0.0,0.0,0.0,0.0
00111011,0.0,0.0,0.0,0.0,0.0,0.0
00111100,0.0,0.0,0.0,0.0,0.0,0.0
00111101,0.0,0.0,0.0,0.0,0.0,0.0
00111110,0.0,0.0,0.0,0.0,0.0,0.0
00111111,0.0,0.0,0.0,0.0,0.0,0.0
01000000,23.0,5.0,18.0,15.17,3.6488686499026546,13.314242424242423
01000001,1.0,0.0,1.0,0.05,0.2190429135575903,0.047979797979797977
01000010,3.0,0.0,3.0,0.39,0.6497085593719789,0.4221212121212122
01000011,0.0,0.0,0.0,0.0,0.0,0.0
01000100,2.0,0.0,2.0,0.15,0.38599209705627263,0.14898989898989898
01000101,0.0,0.0,0.0,0.0,0.0,0.0
01000110,0.0,0.0,0.0,0.0,0.0,0.0
01000111,0.0,0.0,0.0,0.0,0.0,0.0
01001000,2.0,0.0,2.0,0.17,0.40339468604243256,0.16272727272727275
01001001,0.0,0.0,0.0,0.0,0.0,0.0
01001010,0.0,0.0,0.0,0.0,0.0,0.0
01001011,0.0,0.0,0.0,0.0,0.0,0.0
01001100,0.0,0.0,0.0,0.0,0.0,0.0
01001101,0.0,0.0,0.0,0.0,0.0,0.0
01001110,0.0,0.0,0.0,0.0,0.0,0.0
01001111,0.0,0.0,0.0,0.0,0.0,0.0
01010000,1.0,0.0,1.0,0.03,0.1714466079977653,0.029393939393939396
01010001,0.0,0.0,0.0,0.0,0.0,0.0
01010010,0.0,0.0,0.0,0.0,0.0,0.0
01010011,0.0,0.0,0.0,0.0,0.0,0.0
01010100,0.0,0.0,0.0,0.0,0.0,0.0
01010101,0.0,0.0,0.0,0.0,0.0,0.0
01010110,0.0,0.0,0.0,0.0,0.0,0.0
01010111,0.0,0.0,0.0,0.0,0.0,0.0
01011000,0.0,0.0,0.0,0.0,0.0,0.0
01011001,0.0,0.0,0.0,0.0,0.0,0.0
01011010,0.0,0.0,0.0,0.0,0.0,0.0
