nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg,cosine d,manhatt d,mse,euclidean d,norm manhatt d,norm mse,norm euclidean d
8,Hardware,Hardware,brisbane,brisbane,1,2,0.9999655620126178,3.394098298914461e-05,73.80000000000011,0.9940625000000115,15.952429282087508,0.04530807179797723,0.00012383779480219326,0.00823905127895595
8,Hardware,Hardware,torino,torino,1,2,0.9997546916014526,0.0002419284969632507,92.39999999999993,2.6838624999999974,26.21199725316633,0.07699314124902873,0.0005378071859004355,0.021996749621822968
8,Hardware,Hardware,fez,fez,1,2,0.9998195962844024,0.0001779914405811711,113.64,3.215009375000002,28.688715551589276,0.07685236144705522,0.00043552202621459905,0.018867508610340963
8,Hardware,Hardware,marrakesh,marrakesh,1,2,0.9996232009627594,0.00037154341390932544,56.0,0.8769218750000002,14.983057097935655,0.09941675298799005,0.0009095600503269043,0.02725961899625665
8,Hardware,Hardware,brisbane,brisbane,1,3,0.9853570497119922,0.014433351366080371,2333.04,3631.0490000000004,964.1309786538343,0.7155812900580837,0.45234691076134936,0.1699020386344981
8,Hardware,Hardware,torino,torino,1,3,0.9939357211545783,0.005981593820456044,1590.24,2027.5922093749996,720.4606898367182,0.5179424063408995,0.4063001216633178,0.10937635777859986
8,Hardware,Hardware,fez,fez,1,3,0.9102816610737066,0.08849120991725956,4183.160000000001,13294.784981250004,1844.8482200983365,1.173763242629282,1.800981278047259,0.4206927855746032
8,Hardware,Hardware,marrakesh,marrakesh,1,3,0.9498870791121573,0.04940475550800716,2439.36,4915.200393750002,1121.7358427009456,1.1667913916656287,5.0981393496496725,0.31433980183237553
8,Hardware,Hardware,brisbane,brisbane,2,3,0.9850022039473448,0.014783061024809752,2329.08,3567.4839875,955.6546974718428,0.7252129846333075,0.4378824785745176,0.17194802135999682
8,Hardware,Hardware,torino,torino,2,3,0.9933989997263613,0.006510697623002715,1602.2799999999997,1993.0369874999997,714.2950852413868,0.5427384902640419,0.3937588719935379,0.11411132829831776
8,Hardware,Hardware,fez,fez,2,3,0.9121604030121343,0.08663516929907811,4201.28,13369.645559374998,1850.034935670135,1.1758105026452723,1.8445336150265144,0.4162575387883758
8,Hardware,Hardware,marrakesh,marrakesh,2,3,0.9512054058741578,0.04810383190678191,2437.7599999999993,4959.451228125,1126.7739411257255,1.148960931643137,5.283426323813943,0.3101736027026898
8,Simulated,Simulated,brisbane,brisbane,1,2,0.9838305661534502,0.015940623140327292,288.11999999999995,44.52649375,106.7650804336324,0.46226268966579515,0.03635172670655933,0.17855320294145757
8,Simulated,Simulated,torino,torino,1,2,0.976178675991861,0.023531536921611917,551.9999999999999,380.41296875,312.0668518122359,0.4778313188944493,1.430743488889297,0.21694025408675113
8,Simulated,Simulated,fez,fez,1,2,0.8928926030751523,0.10574693978023941,58.74,1.9173148437500003,22.1547421560261,1.1793881551285037,0.20161763167923927,0.45988463723033635
8,Simulated,Simulated,marrakesh,marrakesh,1,2,0.9833466752860497,0.016435004944548304,53.32,3.6125843750000013,30.41087963213166,0.33423673124731396,0.066748167586184,0.18130088220716592
8,Simulated,Simulated,brisbane,brisbane,1,3,0.9792082033137737,0.020501890621550944,546.4599999999999,302.1293031249999,278.10987325156214,0.6352819689791964,0.2466603797484777,0.2024939042122045
8,Simulated,Simulated,torino,torino,1,3,0.9574283801504316,0.04199840742858629,246.45999999999998,51.57814375000001,114.9086802639383,0.7377104718611812,0.1939867969848457,0.28982203997828226
8,Simulated,Simulated,fez,fez,1,3,0.9569952194187752,0.042455022651018415,57.26,2.874823437500001,27.128486872658417,0.6801609460900697,0.3023056410657487,0.29139328287048216
8,Simulated,Simulated,marrakesh,marrakesh,1,3,0.958308044352105,0.04113608490559084,96.46000000000002,10.994977343749998,53.05388015970179,0.6089740899564009,0.2031494670202466,0.2868312566844505
8,Simulated,Simulated,brisbane,brisbane,2,3,0.9812516212774591,0.01848616429466865,488.85999999999984,207.88129140624994,230.68942455171194,0.6222347864847566,0.20256876167717452,0.1922818987563232
8,Simulated,Simulated,torino,torino,2,3,0.9046369864549002,0.09415450812225612,719.52,689.07251875,420.0030533222348,1.0082449135585514,0.5590903749604887,0.433945867873532
8,Simulated,Simulated,fez,fez,2,3,0.9348195837655371,0.06433508381330111,52.879999999999995,2.40684609375,24.822421316221348,0.879430505116656,0.29238130100042714,0.3587062414101573
8,Simulated,Simulated,marrakesh,marrakesh,2,3,0.9506556679256776,0.04868578597915374,142.04000000000002,20.69648828125,72.78942917759419,0.7780024484480075,0.2801344463207134,0.3120441827022372
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,brisbane,1,2,0.9822529998934181,0.017497281393408337,343.2999999999999,46.90883593749998,109.5840408088696,0.5733220962174495,0.03627540856302385,0.18706833721080735
8,Refreshed_Simulated,Refreshed_Simulated,torino,torino,1,2,0.8766408278965055,0.12183256042109059,303.94000000000005,77.37537499999998,140.74123773791388,0.9955618876097958,0.28337259582199736,0.4936244735040804
8,Refreshed_Simulated,Refreshed_Simulated,fez,fez,1,2,0.9425076470176977,0.05672130345759441,98.78000000000002,8.06210234375,45.43014637880887,0.7243575037238132,0.11254391378571392,0.33681242096334574
8,Refreshed_Simulated,Refreshed_Simulated,marrakesh,marrakesh,1,2,0.9549158140944161,0.04451743241572281,71.46000000000001,8.159871875,45.70478311949418,0.4564136187961241,0.08737375317930875,0.29838710567222215
