nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg,cosine d,manhatt d,mse,euclidean d,norm manhatt d,norm mse,norm euclidean d
4,Hardware,Hardware,brisbane,torino,1,1,0.9693881844684431,0.02485207577897397,418.5964912280702,2378.165243151739,195.06574248295837,0.46486824699022544,0.053321339435835675,0.22294427904287614
4,Hardware,Hardware,brisbane,fez,1,1,0.9776612919821138,0.01811946506215567,598.2245614035089,6018.407398060943,310.31358070341537,0.43550271555571796,0.13493996880967637,0.1903652545090923
4,Hardware,Hardware,brisbane,marrakesh,1,1,0.9544702600392905,0.03687851045100965,1101.4645614035087,26731.72999718375,653.9936390783477,0.622880664441908,0.59935769938254,0.2715824385007603
4,Hardware,Hardware,torino,fez,1,1,0.9594296197211555,0.0328046395935111,736.7501754385966,8237.18490190828,363.03575365318017,0.5212090959736542,0.17068078243172458,0.2561430834260841
4,Hardware,Hardware,torino,marrakesh,1,1,0.9470752465942203,0.04278077927947643,1190.8428070175437,29702.087720329342,689.3717455228851,0.7492628537925097,0.6154500150636512,0.29250907431899026
4,Hardware,Hardware,fez,marrakesh,1,1,0.9766767874762848,0.01862533431022173,677.3199999999999,8509.216550000001,368.9816591647883,0.432535314514597,0.4285958194803171,0.19300432280247978
4,Hardware,Hardware,brisbane,torino,2,2,0.9675104100887869,0.026392582295184708,408.280701754386,2406.8721914435214,196.2395349135753,0.47794412819752824,0.05376708833723394,0.2297502221769751
4,Hardware,Hardware,brisbane,fez,2,2,0.9661559635789577,0.02739228556548623,663.2631578947369,7150.691156555865,338.2470376882757,0.5306789549423059,0.1597392019624564,0.23406104146348777
4,Hardware,Hardware,brisbane,marrakesh,2,2,0.9465833524367417,0.04316699287336867,1087.2449122807018,26204.855671468147,647.5165563470098,0.6671346947182502,0.5853899491469344,0.2938264551512289
4,Hardware,Hardware,torino,fez,2,2,0.9491283022882134,0.041154598565030565,763.3508771929825,8452.819112850108,367.7568569117396,0.6069838552501171,0.18344048539900878,0.28689579489783607
4,Hardware,Hardware,torino,marrakesh,2,2,0.9362479622360778,0.05153008230275069,1161.096842105263,27397.61003127116,662.0889370019247,0.8003779716368729,0.5945745219211881,0.3210298500225509
4,Hardware,Hardware,fez,marrakesh,2,2,0.9840426860754914,0.012699503558002534,630.12,7288.8408,341.49883279449136,0.3590655373876277,0.3883854215748477,0.15937065952051935
4,Hardware,Hardware,brisbane,torino,3,3,0.9830817208147835,0.013686224161675975,628.8070175438596,5054.812942443828,284.3888307917547,0.4236674886994338,0.07562835427394897,0.16544620975819307
4,Hardware,Hardware,brisbane,fez,3,3,0.8538827828483059,0.11760116693323197,1307.2898245614037,27328.95770901816,661.2588928281347,0.8429569168512234,0.4088863661404147,0.484976632289087
4,Hardware,Hardware,brisbane,marrakesh,3,3,0.9387329027171528,0.049222917109547515,877.6421052631579,15977.42983796553,505.60743409037065,0.634163797032487,0.23904875174048004,0.3137607913986315
4,Hardware,Hardware,torino,fez,3,3,0.9217000389496715,0.06254094621935369,993.9122807017543,14061.473698553404,474.324339642037,0.6976223549370177,0.14455034045595144,0.35366918502847755
4,Hardware,Hardware,torino,marrakesh,3,3,0.9736366669965905,0.020940142094122205,1197.1705263157894,28784.313371360422,678.6376160674906,0.48624737261888323,0.295899447441913,0.20464673021635307
4,Hardware,Hardware,fez,marrakesh,3,3,0.9668244956796843,0.02650596840078756,1352.32,39550.259750000005,795.4898842851492,0.5405853003543823,0.34197541422340894,0.2302432122812219
4,Simulated,Simulated,brisbane,torino,1,1,0.9718616556806532,0.022676555779896912,117.4,280.7147,67.0181706703488,0.3861595264303034,0.2612789766870404,0.21296269992605238
4,Simulated,Simulated,brisbane,fez,1,1,0.9467568140405634,0.043366984640951234,218.34,926.7271,121.76877103756941,0.48017036535699814,0.8625636931594554,0.2945063145025956
4,Simulated,Simulated,brisbane,marrakesh,1,1,0.9854707694099473,0.011688002489935179,168.62,553.1929,94.08021258479384,0.2908380689768103,0.5148917203927557,0.15289213511449773
4,Simulated,Simulated,torino,fez,1,1,0.8505476108968081,0.12164216890723356,100.94,215.49815,58.71942097807164,0.8004038108715065,0.7648680149902997,0.4932386215762782
4,Simulated,Simulated,torino,marrakesh,1,1,0.9351149282620554,0.05235421344458613,58.86,70.912675,33.6838655738916,0.4979519668725555,0.2516904992683336,0.32358681507313036
4,Simulated,Simulated,fez,marrakesh,1,1,0.9791957347621284,0.01703300020876075,49.72,49.245487499999996,28.070051656525322,0.32899369131060124,8.202301018719199,0.1845697711368827
4,Simulated,Simulated,brisbane,torino,2,2,0.9897707710812088,0.00821993195182169,38.46,23.411487499999996,19.35416750986722,0.20008139778319936,0.022352515294233283,0.12821803267732165
4,Simulated,Simulated,brisbane,fez,2,2,0.8828554297424842,0.09733245541519309,218.92,933.1512250000002,122.19009616167753,0.9059706668520069,0.8909419800277548,0.44120846640832506
4,Simulated,Simulated,brisbane,marrakesh,2,2,0.9780655855034854,0.017668058829656053,147.82,429.6392,82.91095946857689,0.34115543423497385,0.41020532287844397,0.18797903515901004
4,Simulated,Simulated,torino,fez,2,2,0.8408858722961952,0.13180975435114384,196.54000000000002,775.8631125000002,111.41727783427488,1.0763839139299392,0.8858583499501518,0.5134389045468676
4,Simulated,Simulated,torino,marrakesh,2,2,0.987583196457106,0.010011523825754542,125.44000000000001,317.7743500000001,71.30490586207937,0.28702161910420776,0.3628256799584373,0.1415028185284995
4,Simulated,Simulated,fez,marrakesh,2,2,0.8259194281553515,0.1442060505772378,71.10000000000001,105.85504999999999,41.15435335417141,1.0156014649519398,25.808783954699635,0.5370401299292965
4,Simulated,Simulated,brisbane,torino,3,3,0.975397503927351,0.019818413241086907,119.56,288.41003749999993,67.93055718894112,0.3618726865212022,0.2696808129153538,0.1990899959369463
4,Simulated,Simulated,brisbane,fez,3,3,0.9461765691452035,0.04381726422994281,219.48,937.618175,122.4822060545939,0.48732433289728144,0.8767296514019922,0.2960312964196274
4,Simulated,Simulated,brisbane,marrakesh,3,3,0.985163769237374,0.011935068268221993,165.57999999999998,534.397075,92.46811991167549,0.2897462047141481,0.4996935573214484,0.15449963280359064
4,Simulated,Simulated,torino,fez,3,3,0.8585259143514389,0.11509126746933107,99.91999999999999,209.05856249999997,57.8354303174101,0.7871774064395506,0.781481543090886,0.4797734204170356
4,Simulated,Simulated,torino,marrakesh,3,3,0.938530309551798,0.049578836867645526,53.47999999999999,59.443387499999986,30.83981517454344,0.4911327001983104,0.2222052502157116,0.3148931147791117
4,Simulated,Simulated,fez,marrakesh,3,3,0.9810965410157323,0.015479060919610932,53.89999999999999,57.90905,30.43919841257322,0.3071596567359315,12.137558457890668,0.17594920243985737
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,1,1,0.9416273246740625,0.047140040548876994,169.50000000000003,584.1924375,96.68029271780264,0.5422108609766256,0.4460160131708508,0.307050616507692
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,1,1,0.9441178716060934,0.04543235628239717,191.99999999999997,712.8505375000001,106.79704396658178,0.5861421872750832,0.54424318822588,0.3014377424358041
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,marrakesh,1,1,0.6879460356982303,0.25997677234946104,221.26000000000002,721.0690250000001,107.41091378440089,1.344484026201491,0.5505177936362667,0.7210780434175776
4,Refreshed_Simulated,Refreshed_Simulated,torino,fez,1,1,0.8843426856759212,0.09377298961775482,46.05999999999999,32.60435,22.840087565506398,0.8098374264276209,0.19431549542015228,0.433065790885761
4,Refreshed_Simulated,Refreshed_Simulated,torino,marrakesh,1,1,0.823918728931525,0.1471650376978587,56.36,65.083525,32.26974434357979,1.060650819961163,0.38788497252866155,0.5425219584456624
4,Refreshed_Simulated,Refreshed_Simulated,fez,marrakesh,1,1,0.807331591911101,0.16122769828366357,61.74,78.72533750000001,35.49091996553485,0.9364455450629121,0.7682728110662042,0.5678515620893606
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,2,2,0.9248437151891838,0.06164898581819245,127.02000000000001,314.950275,70.98735380333598,0.6305733321693043,0.21052233247210814,0.3511381090630646
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,2,2,0.9370959986045179,0.05106905065670031,210.16,857.630075,117.14128734139813,0.6381548738211529,0.5732659982190175,0.3195905213134469
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,marrakesh,2,2,0.9308382482939888,0.057963917470313486,168.73999999999998,586.345375,96.85827791159619,0.6651222433761881,0.3919310627026217,0.34048176888142906
4,Refreshed_Simulated,Refreshed_Simulated,torino,fez,2,2,0.80235234668614,0.16216062286401722,117.52,292.019725,68.35433856018211,1.0185925075190243,0.4815819210856399,0.569492094526372
4,Refreshed_Simulated,Refreshed_Simulated,torino,marrakesh,2,2,0.7730992365214882,0.18931468641272808,117.34,223.617775,59.81541941673568,1.0410132296818355,0.3687774093801245,0.6153286705700104
4,Refreshed_Simulated,Refreshed_Simulated,fez,marrakesh,2,2,0.9439346452872164,0.04704088010765195,52.599999999999994,50.11772500000001,28.317549328993852,0.5745418403551122,0.49311118381081476,0.3067275015633644
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,3,3,0.9461674067552581,0.04344913552843466,171.94,594.842525,97.55757479560468,0.5098363618211798,0.4529206750407411,0.2947851269261552
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,fez,3,3,0.9447391114820369,0.0449217739027965,193.94,741.4939499999999,108.92154607789956,0.5955256769265109,0.5645829379340784,0.2997391329232695
