nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg,cosine d,manhatt d,mse,euclidean d
16,Hardware,Simulated,brisbane,brisbane,1,1,0.9760462466881894,0.023952343672929532,1.9247754427951862,0.3880305069620202,0.21887139453556384
16,Hardware,Simulated,torino,torino,1,1,0.9451207770394765,0.054876161833436354,1.6815734997645382,0.5784302381544599,0.33128888249823163
16,Hardware,Simulated,fez,fez,1,1,0.8860272737594405,0.11396670820446331,1.5983804288923233,0.809122610537496,0.4774237283681588
16,Hardware,Simulated,marrakesh,marrakesh,1,1,0.9580947049611852,0.04190290005701902,1.531059148435796,0.7333020104783136,0.28949231443002765
16,Hardware,Simulated,brisbane,brisbane,2,2,0.9849096632170442,0.015089436670476575,1.9166861464943952,0.3829747128048373,0.17372067620476503
16,Hardware,Simulated,torino,torino,2,2,0.9530537362523027,0.04694362476503722,1.6122361624952783,0.5310796070440081,0.30641026342165334
16,Hardware,Simulated,fez,fez,2,2,0.8744180067700434,0.12557536157756266,1.6754197220318634,0.8130542576645886,0.501149402030126
16,Hardware,Simulated,marrakesh,marrakesh,2,2,0.9624106503336376,0.037587194847328975,1.4717516929532344,0.7250526569148338,0.2741794844525662
16,Hardware,Simulated,brisbane,brisbane,3,3,0.9722701149620806,0.027728262900584832,1.9483852899160734,0.7330768417059771,0.23549209286347775
16,Hardware,Simulated,torino,torino,3,3,0.9718458621246521,0.028152506564139812,1.7108851092180979,0.8294589320503075,0.23728677402738768
16,Hardware,Simulated,fez,fez,3,3,0.954120859230411,0.045876567201667884,1.7536355434749145,0.9701955554246774,0.3029077985185955
16,Hardware,Simulated,marrakesh,marrakesh,3,3,0.974169907232778,0.025828610048223233,1.4482857111815355,0.9414245464693273,0.22728224764923013
16,Hardware,Refreshed_Simulated,brisbane,brisbane,1,1,0.9830061224192526,0.01699286685065482,1.9220267921627334,0.44169974797909545,0.18435220015331077
16,Hardware,Refreshed_Simulated,torino,torino,1,1,0.9489247446095218,0.05107239843670419,1.6434267790234136,0.6321373083478204,0.31960099635868294
16,Hardware,Refreshed_Simulated,fez,fez,1,1,0.8570264899317439,0.14296608878377048,1.6352477100380522,0.7867822174814795,0.5347262641460274
16,Hardware,Refreshed_Simulated,marrakesh,marrakesh,1,1,0.9063870968107813,0.09360793643577059,1.657992575357588,0.7030294559705683,0.4326844957605423
16,Hardware,Refreshed_Simulated,brisbane,brisbane,2,2,0.9838487231675286,0.016150315009282212,1.9125605057119737,0.3947756119653587,0.17972376030633525
16,Hardware,Refreshed_Simulated,torino,torino,2,2,0.9579660285040353,0.04203159474608986,1.6490877009821798,0.5639702595468398,0.28993652666097863
16,Hardware,Refreshed_Simulated,fez,fez,2,2,0.8692904210349574,0.13070271256745336,1.6600210093880297,0.742182974792333,0.51127822673661
16,Hardware,Refreshed_Simulated,marrakesh,marrakesh,2,2,0.8269284386417004,0.17306343072030106,1.840270951944607,0.4429980933597593,0.5883254723710466
16,Hardware,Refreshed_Simulated,brisbane,brisbane,3,3,0.9684261115680208,0.03157205233759086,1.9503118112064861,0.7071276645663784,0.2512849073765347
16,Hardware,Refreshed_Simulated,torino,torino,3,3,0.9625793952093826,0.037418460231526396,1.791622455545936,0.8579042709337965,0.273563375587991
16,Hardware,Refreshed_Simulated,fez,fez,3,3,0.8180216820058352,0.18197010127725477,1.761704707238261,0.8316872237498322,0.6032745664741296
16,Hardware,Refreshed_Simulated,marrakesh,marrakesh,3,3,0.9209665508029485,0.07902920467786234,1.756575158391908,0.9522069704747855,0.39756560383886697
16,Simulated,Refreshed_Simulated,brisbane,brisbane,1,1,0.9883462352737956,0.011653083865501346,0.6522205796532621,0.035476353243221376,0.15266357696259134
16,Simulated,Refreshed_Simulated,torino,torino,1,1,0.9661247173354665,0.03387344209152121,0.7721833598679338,0.08048865308314836,0.26028231630875126
16,Simulated,Refreshed_Simulated,fez,fez,1,1,0.9365560323887956,0.06344061902634646,0.9024226379942677,0.1783336879376935,0.3562039276210915
16,Simulated,Refreshed_Simulated,marrakesh,marrakesh,1,1,0.9178237915149265,0.08217189462707508,1.267752185095899,0.24023472748126815,0.4053933759376811
16,Simulated,Refreshed_Simulated,brisbane,brisbane,2,2,0.99593200024667,0.00406775924558056,0.5025278292843406,0.00849617479868766,0.09019710910671157
16,Simulated,Refreshed_Simulated,torino,torino,2,2,0.9318290447644023,0.06816719970095175,1.283732984981407,0.1321838769338572,0.3692348837825425
16,Simulated,Refreshed_Simulated,fez,fez,2,2,0.9711007087439202,0.028897744628009203,0.7178004175855248,0.26872050921180296,0.24040692430963562
16,Simulated,Refreshed_Simulated,marrakesh,marrakesh,2,2,0.8614168312048672,0.1385767875793904,1.3276125408144177,4.960499880012246,0.5264537730501927
16,Simulated,Refreshed_Simulated,brisbane,brisbane,3,3,0.9927000679327899,0.007299513156389992,0.36583801551554856,0.028853724761611604,0.12082643052237416
16,Simulated,Refreshed_Simulated,torino,torino,3,3,0.9854433476443717,0.014555829222800853,0.6187027426144384,0.051624818173790055,0.17062138917966663
16,Simulated,Refreshed_Simulated,fez,fez,3,3,0.8240323505151181,0.17595978186043193,1.4301148946387587,38.521537203516736,0.5932280874342203
16,Simulated,Refreshed_Simulated,marrakesh,marrakesh,3,3,0.936787696484807,0.06320894642979291,1.0524687230659215,0.12803989887676756,0.3555529396019477
