0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
3330,393,206,52,38,6,6,46,12,,,,1,1,3,2
3356,367,189,61,44,12,14,30,12,2,2,1,2,,2,2
3320,323,262,65,51,5,8,41,10,2,1,,1,,1,6
3297,374,204,75,54,9,12,45,12,1,3,,2,,2,6
3311,390,213,65,42,11,7,36,13,1,3,,1,,1,2
3290,352,250,78,39,11,14,44,10,1,1,1,,,2,3
3324,376,214,63,32,4,16,41,9,3,5,1,2,1,2,3
3323,386,196,62,37,3,9,49,12,,1,1,2,2,2,11
3296,384,251,49,37,5,11,39,16,,1,,,,3,4
3295,394,218,53,43,9,13,41,16,3,1,4,2,1,,3
3290,389,224,65,43,5,11,48,11,1,2,1,,1,3,2
3360,358,200,47,40,6,8,52,14,1,1,3,2,,2,2
3317,374,202,60,47,11,15,37,13,3,,2,2,4,1,8
3314,358,245,63,33,9,10,47,10,1,,,1,1,,4
3290,384,234,61,38,8,13,41,13,,1,1,3,,5,4
3350,355,222,50,40,7,6,32,19,1,1,2,2,1,,8
3289,403,223,65,37,4,11,51,7,,,,1,1,1,3
3346,351,231,49,32,5,7,43,11,2,2,1,3,3,,10
3321,388,238,54,26,6,10,33,10,2,,2,1,1,,4
3316,369,222,54,35,9,11,51,12,4,3,1,2,,1,6
3376,335,210,44,30,4,16,51,12,3,2,5,2,1,2,3
3315,358,216,64,38,8,19,51,13,2,,,1,1,1,9
3331,345,229,54,47,8,15,39,9,1,4,2,3,,,9
3375,324,236,44,30,8,8,58,9,1,2,,,,1,
3336,370,213,59,39,3,11,45,9,2,1,1,,,,7
3329,364,232,63,34,5,6,48,7,,,,,,2,6
3340,348,223,56,38,7,15,52,8,,,3,,1,2,3
3277,418,213,56,37,9,10,49,11,4,1,1,3,,2,5
3330,371,237,51,37,6,10,39,12,2,,,,1,,
3382,342,212,54,32,7,5,43,14,1,,,,1,,3
3365,354,217,61,22,8,8,40,7,1,4,1,2,,1,5
3332,383,222,47,36,5,15,34,9,2,1,1,1,,2,6
3364,367,201,58,38,5,10,38,11,,,,,,,4
3331,374,217,57,40,6,9,47,6,1,,1,1,,3,3
3334,349,234,59,39,3,13,42,12,2,2,1,,,,6
3361,364,220,45,31,7,6,47,5,3,,1,,1,2,3
3335,394,206,48,29,,12,46,18,1,,,,,1,6
3371,390,186,50,33,5,8,36,12,,,1,1,,1,2
3338,326,234,81,42,4,15,42,10,,,,,,1,3
3317,396,231,43,38,7,2,44,10,2,2,,,,2,2
3369,363,208,57,31,6,7,40,9,1,1,,2,,,2
3353,367,213,56,35,2,7,38,19,,1,,1,,1,3
3377,365,197,61,30,5,5,29,16,1,1,1,1,1,1,5
3355,340,227,68,41,7,8,39,8,1,1,,,,,1
3368,350,218,45,38,6,9,42,12,1,1,,1,,1,4
3315,372,241,52,38,4,6,47,8,2,,1,1,,2,7
3349,360,214,48,44,4,8,49,13,2,,1,,,,4
3354,374,193,47,39,6,10,48,23,,,,,,,2
3317,408,216,49,40,8,6,33,9,3,2,,,,1,4
3306,380,234,64,36,6,11,37,13,2,,1,1,1,,4
3352,353,212,52,32,4,15,48,16,1,1,1,,,2,7
3356,344,240,49,31,2,15,37,15,1,1,,1,,1,3
3363,352,209,60,36,7,8,44,11,,1,1,,,1,3
3345,369,210,53,30,6,7,49,18,1,1,2,,1,2,2
3321,396,214,53,37,6,9,44,10,2,1,,,,1,2
3314,385,227,66,36,7,10,34,8,1,1,1,2,,,4
3323,392,217,46,36,6,12,43,13,1,,,1,,1,5
