0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
3590,205,52,63,41,3,1,19,108,3,1,1,3,1,,5
3597,180,62,71,30,5,3,24,111,1,3,3,1,,,5
3618,204,54,46,28,3,1,21,108,6,1,,1,,,5
3584,185,52,64,43,1,2,32,121,2,2,1,,1,,6
3624,157,48,63,38,4,3,22,121,4,1,3,2,,,6
3604,209,43,69,35,5,2,19,96,8,2,3,1,,,
3558,199,62,79,28,2,,29,123,5,1,2,2,,1,5
3641,157,49,68,34,2,1,17,113,6,,2,,,,6
3650,172,51,53,31,,1,18,105,4,4,2,1,,2,2
3607,198,55,62,31,4,3,13,105,8,3,1,,,2,4
3624,191,39,54,30,4,5,20,111,7,3,1,1,,2,4
3579,233,47,48,39,4,2,19,103,8,2,2,3,,2,5
3637,155,52,59,31,5,1,29,114,3,2,2,1,1,,4
3595,231,43,50,26,5,6,16,103,11,3,1,1,,1,4
3645,147,38,52,41,7,,31,118,4,2,1,,,,10
3545,266,52,63,28,6,4,19,101,10,,,,1,,1
3632,167,55,55,36,3,,17,116,6,,2,4,,,3
3600,205,56,56,20,1,3,20,117,8,2,2,2,,,4
3582,206,50,66,25,1,3,17,132,3,,1,3,,2,5
3478,322,46,56,40,6,1,24,95,16,3,1,3,1,1,3
3513,295,46,57,26,3,2,17,114,12,2,4,,,1,4
3611,194,32,59,35,6,4,23,112,10,1,2,3,1,,3
3575,222,49,63,43,3,,11,112,5,3,3,2,1,,4
3499,284,52,82,35,2,1,32,87,15,2,1,1,1,,2
3574,248,47,40,37,2,3,18,98,14,3,2,2,1,,7
3603,228,43,48,28,1,8,21,93,8,2,3,1,,1,8
3625,159,48,76,39,4,,20,108,4,3,4,3,,,3
3581,200,40,68,34,2,3,16,136,6,,2,4,1,,3
3632,187,50,62,25,4,4,22,100,3,,3,2,,,2
3593,173,63,68,39,3,2,15,128,3,,4,,,1,4
3606,182,47,66,32,2,1,25,118,4,1,2,,1,,9
3438,342,47,66,34,8,2,37,101,11,,1,2,2,1,4
3598,188,52,66,39,2,3,25,106,3,4,3,1,,1,5
3618,196,47,54,28,3,5,30,97,7,2,,3,1,,5
3595,190,46,45,37,2,4,25,134,8,3,2,3,,,2
3619,192,49,57,40,6,2,15,104,4,1,1,1,,2,3
3488,302,55,68,35,7,2,15,101,13,2,3,,1,1,3
3591,181,59,49,42,6,1,19,125,4,2,4,2,,2,9
3589,203,42,64,29,6,2,24,112,7,1,4,3,,,10
3627,191,35,54,25,3,8,18,122,2,3,3,1,,,4
3623,160,58,64,41,1,4,25,105,6,2,1,,,,6
3548,239,60,57,34,3,4,28,111,5,,1,3,,,3
3656,163,43,58,31,3,1,13,114,,1,5,2,,,6
3550,253,55,59,22,3,6,22,106,10,3,,3,1,,3
3576,246,55,52,25,,,14,103,11,,,3,,,11
3548,274,34,60,32,5,1,11,111,6,4,2,,,1,7
3632,185,40,59,35,2,4,16,108,4,,4,3,,,4
3595,195,51,58,30,5,4,21,123,4,4,1,1,,,4
3624,186,50,58,26,3,3,19,111,7,1,1,1,,,6
3658,160,55,53,25,7,4,11,111,5,1,2,1,,,3
